City,Country,Lat,Lng,Date,Humidity,Max Temp,Wind Speed,Cloudiness
Shahrud,IR,36.42,54.97,3/18/18,90,26.36,2.46,0
Pangnirtung,CA,66.15,-65.72,3/18/18,60,10.4,14.99,40
Launceston,AU,-41.43,147.14,3/18/18,67,60.8,29.97,75
Vilyuysk,RU,63.75,121.63,3/18/18,57,-19.55,2.68,0
Prince Rupert,CA,54.32,-130.32,3/18/18,75,46.4,5.82,90
Carazinho,BR,-28.3,-52.79,3/18/18,62,84.2,8.05,40
Ihosy,MG,-22.4,46.13,3/18/18,94,64.97,6.93,88
Salalah,OM,17.01,54.1,3/18/18,73,77,2.24,20
Yenagoa,NG,4.92,6.26,3/18/18,78,79.91,6.93,8
Pitimbu,BR,-7.47,-34.81,3/18/18,69,80.6,8.05,20
Casper,US,42.87,-106.31,3/18/18,86,33.8,17.22,90
Tautira,PF,-17.73,-149.15,3/18/18,74,82.4,16.11,75
Yunguyo,PE,-16.24,-69.09,3/18/18,100,54.62,10.4,8
Bahia Blanca,AR,-38.72,-62.27,3/18/18,55,71.45,15.32,0
Ekhabi,RU,53.51,142.97,3/18/18,76,-3.35,13.2,0
Bubaque,GW,11.28,-15.83,3/18/18,65,80.6,6.93,0
Povenets,RU,62.85,34.83,3/18/18,85,30.68,14.88,76
Karratha,AU,-20.74,116.85,3/18/18,48,77.66,2.8,8
Vanimo,PG,-2.67,141.3,3/18/18,100,82.16,12.86,36
Jumla,NP,29.28,82.18,3/18/18,67,24.2,2.68,20
Le Mars,US,42.79,-96.17,3/18/18,80,41,6.93,90
Kelvington,CA,52.16,-103.52,3/18/18,100,26.72,7.72,68
Ayan,TR,40.67,33.6,3/18/18,54,50.03,6.49,56
Burnie,AU,-41.05,145.91,3/18/18,98,64.34,40.82,80
Round Rock,US,30.51,-97.68,3/18/18,61,84.2,3.36,75
Falun,SE,60.61,15.63,3/18/18,72,32,12.75,20
Oktyabrskoye,RU,56.73,85.44,3/18/18,88,19.88,5.7,0
Highland,US,34.13,-117.21,3/18/18,36,64.4,4.7,75
Mae Hong Son,MM,19.3,97.96,3/18/18,86,65.42,1.12,0
Nimbahera,IN,24.63,74.69,3/18/18,31,68.48,4.81,32
Parana,BR,-7.52,-72.89,3/18/18,62,84.2,3.47,40
Phan Thiet,VN,10.93,108.1,3/18/18,100,75.68,8.72,20
Kachiry,KZ,53.07,76.1,3/18/18,84,21.05,12.41,44
Tucson,US,32.22,-110.93,3/18/18,38,60.8,12.75,40
Palmer,AU,-34.85,139.16,3/18/18,68,64.4,17.22,75
San Patricio,PY,-26.98,-56.83,3/18/18,45,94.67,8.39,0
Grottammare,IT,42.99,13.87,3/18/18,54,53.6,11.41,0
Kyshtovka,RU,56.56,76.62,3/18/18,88,26.81,16.44,8
Aden,YE,12.79,45.03,3/18/18,98,78.29,11.41,0
Marsabit,KE,2.34,37.99,3/18/18,94,69.56,4.92,44
Vieux-Habitants,GP,16.06,-61.77,3/18/18,61,80.6,10.29,20
Zinder,NE,13.81,8.99,3/18/18,52,71.72,4.14,20
Narsaq,GL,60.91,-46.05,3/18/18,33,46.4,48.32,76
Slyudyanka,RU,51.66,103.72,3/18/18,68,13.76,1.57,0
Hamilton,BM,32.3,-64.78,3/18/18,87,60.8,18.34,90
Bathsheba,BB,13.22,-59.52,3/18/18,69,80.6,11.41,40
Bullhead City,US,35.15,-114.57,3/18/18,13,69.8,8.05,1
Newport,GB,51.59,-3,3/18/18,74,30.2,21.92,75
Belfast,GB,54.6,-5.93,3/18/18,59,33.8,18.34,88
College,US,64.86,-147.8,3/18/18,85,28.4,4.36,90
Los Llanos de Aridane,ES,28.66,-17.92,3/18/18,82,66.2,14.99,40
Beloha,MG,-25.17,45.06,3/18/18,75,76.31,14.43,0
Hermiston,US,45.84,-119.29,3/18/18,35,57.2,10.29,1
Guerrero Negro,MX,27.97,-114.04,3/18/18,46,68.84,11.74,24
Cockburn Town,TC,21.46,-71.14,3/18/18,100,75.59,4.14,56
Alofi,NU,-19.06,-169.92,3/18/18,74,82.4,4.7,40
Qingyuan,CN,27.62,119.06,3/18/18,100,60.29,2.01,92
Chapais,CA,49.78,-74.86,3/18/18,65,8.6,16.11,90
Eureka,US,40.8,-124.16,3/18/18,66,53.6,9.17,1
Kiunga,PG,-6.12,141.3,3/18/18,99,72.44,2.35,92
Weligama,LK,5.97,80.42,3/18/18,98,78.56,7.16,24
Sao Joao da Barra,BR,-21.64,-41.05,3/18/18,74,80.6,12.75,0
Tongliao,CN,43.61,122.27,3/18/18,81,25.46,10.18,0
Mitu,IR,36.2,46.09,3/18/18,69,26.18,3.47,0
Sitka,US,37.17,-99.65,3/18/18,70,56.69,12.64,92
Evensk,RU,61.92,159.24,3/18/18,100,8.27,7.16,44
Coahuayana,MX,18.62,-100.35,3/18/18,16,90.17,3.24,0
Zilupe,RU,56.39,28.12,3/18/18,78,20.24,12.08,0
Grass Valley,US,39.22,-121.06,3/18/18,49,55.4,4.14,1
Samagaltay,RU,50.6,95,3/18/18,82,5.3,2.13,44
Olinda,EC,-2.03,-79.75,3/18/18,70,84.2,5.82,40
Praia,BR,-20.25,-43.81,3/18/18,48,84.2,6.93,40
Nokaneng,BW,-19.66,22.19,3/18/18,78,70.28,4.25,24
La Tuque,CA,47.44,-72.79,3/18/18,50,16.28,7.61,24
Port Hedland,AU,-20.31,118.58,3/18/18,48,82.4,6.93,0
Biak,ID,-0.91,122.88,3/18/18,100,74.78,2.57,80
Kieta,PG,-6.22,155.63,3/18/18,100,74.06,3.69,92
Knysna,ZA,-34.04,23.05,3/18/18,93,62.6,9.17,0
Nuuk,GL,64.17,-51.74,3/18/18,42,46.4,14.99,32
Nueva Concepcion,GT,14.2,-91.3,3/18/18,46,93.2,11.41,40
Ligayan,PH,4.65,119.47,3/18/18,100,82.07,5.59,24
Longview,US,32.5,-94.74,3/18/18,83,75.2,5.82,90
Leshukonskoye,RU,64.9,45.76,3/18/18,70,6.56,7.72,68
Gamba,CN,28.28,88.52,3/18/18,65,-1.82,4.25,0
San Rafael del Sur,NI,11.85,-86.44,3/18/18,38,93.2,16.11,40
Baoqing,CN,46.32,132.2,3/18/18,63,11.51,12.41,0
Kichera,RU,55.93,110.1,3/18/18,54,-1.82,2.8,0
Trelew,AR,-43.25,-65.31,3/18/18,25,73.16,18.01,0
Comodoro Rivadavia,AR,-45.87,-67.48,3/18/18,30,68,33.33,0
Champerico,MX,16.38,-93.6,3/18/18,25,98.6,4.7,5
Santo Antonio do Ica,BR,-3.1,-67.94,3/18/18,65,88.01,6.26,24
Gornopravdinsk,RU,60.06,69.92,3/18/18,87,32.66,12.97,92
Sarahan,IN,31.51,77.79,3/18/18,81,0.62,2.01,0
Kushiro,JP,43.11,144.15,3/18/18,81,32.66,8.61,32
Broken Hill,AU,-31.97,141.45,3/18/18,67,53.09,9.62,0
Basudebpur,IN,21.14,86.74,3/18/18,100,78.11,5.82,0
Villa Carlos Paz,AR,-31.42,-64.5,3/18/18,22,75.2,11.41,0
Plouzane,FR,48.38,-4.62,3/18/18,100,33.8,4.7,0
Vyshestebliyevskaya,RU,45.2,37,3/18/18,76,50,8.95,88
Victor Harbor,AU,-35.55,138.62,3/18/18,68,64.4,17.22,75
Chipinge,ZW,-20.19,32.62,3/18/18,100,67.85,4.14,88
Cantagallo,CO,7.38,-73.91,3/18/18,59,89.6,5.82,75
Kodra,UA,50.59,29.56,3/18/18,48,19.4,6.71,92
Puerto Ayora,EC,-0.74,-90.35,3/18/18,62,86,12.75,20
Bitkine,TD,11.98,18.21,3/18/18,30,70.73,5.7,0
San Cristobal,EC,-0.39,-78.55,3/18/18,67,59,13.87,75
Hereford,GB,52.06,-2.72,3/18/18,92,27.35,15.43,88
Mareeba,AU,-16.99,145.42,3/18/18,78,78.8,10.29,20
San Jeronimo,PE,-13.65,-73.37,3/18/18,88,51.2,2.46,88
Ivybridge,GB,50.39,-3.92,3/18/18,86,28.4,14.99,75
Sinnamary,GF,5.38,-52.96,3/18/18,98,78.92,8.95,92
Tumpat,MY,6.2,102.17,3/18/18,94,77,1.79,75
Mercedes,UY,-33.25,-58.03,3/18/18,83,65.15,21.47,8
Acoua,YT,-12.72,45.06,3/18/18,83,82.4,10.29,88
Klaksvik,FO,62.23,-6.59,3/18/18,93,39.2,10.29,68
Gombong,ID,-7.19,109.31,3/18/18,95,67.76,0.34,0
Plettenberg Bay,ZA,-34.05,23.37,3/18/18,99,65.69,14.99,8
El Tejar,CR,9.84,-83.94,3/18/18,39,86,16.11,75
Cherskiy,RU,68.75,161.3,3/18/18,55,-10.73,9.4,32
Casablanca,MA,33.6,-7.62,3/18/18,93,60.8,5.82,40
Fort Wellington,GY,6.4,-57.6,3/18/18,95,79.55,10.4,0
Bandarbeyla,SO,9.49,50.81,3/18/18,100,78.2,8.5,0
Venado Tuerto,AR,-33.75,-61.97,3/18/18,63,66.59,20.58,0
Kuli,UA,49.94,30.53,3/18/18,56,17.6,13.42,0
Ushtobe,KZ,45.25,77.98,3/18/18,71,28.88,3.13,76
Poum,MK,41.28,20.71,3/18/18,74,35.9,1.79,64
Vanavara,RU,60.35,102.28,3/18/18,90,26,6.93,64
Taybad,IR,34.74,60.78,3/18/18,100,41.84,15.1,92
Orlik,RU,52.51,99.83,3/18/18,66,3.5,1.9,32
Dillingen,DE,49.85,6.32,3/18/18,73,26.6,14.99,75
Dasoguz,TM,41.84,59.97,3/18/18,81,50,9.17,90
Nyurba,RU,63.29,118.35,3/18/18,62,-13.52,6.6,24
Luwuk,ID,-0.95,122.79,3/18/18,100,74.78,2.57,80
Vulturesti,RO,47.52,26.45,3/18/18,92,14,10.29,75
Treinta y Tres,UY,-33.23,-54.39,3/18/18,97,71.63,14.2,80
Nizhniy Chir,RU,48.36,43.08,3/18/18,100,19.52,14.76,92
Requena,ES,39.49,-1.1,3/18/18,40,53.6,9.17,0
Itamaraca,BR,-7.75,-34.83,3/18/18,69,82.4,8.05,20
Ahuimanu,US,21.44,-157.84,3/18/18,88,80.6,3.36,90
Corbu,RO,44.41,28.66,3/18/18,92,24.8,11.41,90
San Quintin,PH,17.54,120.52,3/18/18,80,65.87,4.92,0
Harnosand,SE,62.63,17.94,3/18/18,60,39.2,8.05,90
Bud,NO,62.91,6.91,3/18/18,100,37.4,31.09,75
Port Hawkesbury,CA,45.62,-61.36,3/18/18,57,21.2,17.22,20
Cassilandia,BR,-19.11,-51.73,3/18/18,59,88.1,2.68,8
Muros,ES,42.77,-9.06,3/18/18,87,42.8,2.24,40
Walvis Bay,NA,-22.95,14.51,3/18/18,77,62.6,4.7,8
Valasske Mezirici,CZ,49.47,17.97,3/18/18,73,21.2,21.92,75
Takaka,NZ,-40.86,172.81,3/18/18,89,60.92,4.47,8
Oussouye,SN,12.49,-16.54,3/18/18,73,78.8,4.7,0
Filiatra,GR,37.16,21.59,3/18/18,81,50,5.14,20
Chongwe,ZM,-15.33,28.68,3/18/18,87,65.15,1.9,68
Belmonte,PT,40.36,-7.35,3/18/18,90,36.53,4.03,0
Fare,PF,-16.7,-151.02,3/18/18,97,82.7,15.43,88
Pokhara,NP,28.21,83.99,3/18/18,45,52.01,4.92,0
Wenling,CN,28.38,121.38,3/18/18,97,55.52,2.01,92
Soyo,AO,-6.13,12.37,3/18/18,80,80.72,5.7,80
Fallon,US,46.84,-105.12,3/18/18,100,28.4,13.87,90
Buala,SB,-8.15,159.59,3/18/18,98,80.9,4.7,20
Shimoda,JP,34.7,138.93,3/18/18,100,59.75,21.03,88
Sabang,PH,13.72,123.58,3/18/18,98,77.57,7.38,80
Tyukhtet,RU,56.54,89.31,3/18/18,63,6.65,3.13,0
Vardo,US,39.62,-77.74,3/18/18,20,59,9.17,1
Coihaique,CL,-45.58,-72.07,3/18/18,58,55.4,13.87,75
Wewak,PG,-3.55,143.63,3/18/18,100,73.79,2.68,88
Cangzhou,CN,38.3,116.85,3/18/18,90,32.66,2.91,32
Qeshm,IR,26.96,56.27,3/18/18,60,71.6,4.7,0
Chicama,PE,-7.84,-79.15,3/18/18,88,71.6,8.05,75
Alamosa,US,37.47,-105.87,3/18/18,35,39.2,24.16,40
Damietta,EG,31.42,31.81,3/18/18,88,66.2,8.05,0
Muisne,EC,0.61,-80.02,3/18/18,76,81.89,8.16,20
Batagay-Alyta,RU,67.8,130.41,3/18/18,61,-35.12,2.68,12
Yuxia,CN,34.06,108.63,3/18/18,100,42.8,2.24,90
Cumana,VE,10.46,-64.17,3/18/18,41,84.05,3.47,68
Synya,RU,65.37,58.04,3/18/18,75,-7.31,3.91,56
Henties Bay,NA,-22.12,14.28,3/18/18,100,62.18,4.25,0
Jeremie,HT,18.65,-74.12,3/18/18,100,76.58,3.36,76
Saint-Augustin,FR,44.83,-0.61,3/18/18,86,42.8,4.7,32
Medford,US,42.33,-122.87,3/18/18,61,48.2,2.57,1
Sovetskaya,RU,44.78,41.17,3/18/18,64,53.54,7.72,76
Mwinilunga,ZM,-11.73,24.43,3/18/18,97,65.78,2.57,48
Assiniboia,CA,49.63,-105.99,3/18/18,100,31.49,4.59,88
Ntungamo,UG,-0.87,30.27,3/18/18,92,64.16,2.13,44
Aksarka,RU,66.56,67.8,3/18/18,57,-19.73,3.36,0
Escarcega,MX,18.61,-90.75,3/18/18,30,98.72,4.03,0
Togur,RU,58.36,82.83,3/18/18,89,24.11,10.18,44
Buritizeiro,BR,-17.37,-44.96,3/18/18,88,75.14,2.57,12
Bejar,AL,40.49,19.83,3/18/18,100,47.24,5.7,92
Yarega,RU,63.43,53.58,3/18/18,63,-14.24,3.69,0
Benicarlo,ES,40.42,0.43,3/18/18,100,55.88,21.47,0
Berberati,CF,4.26,15.79,3/18/18,95,67.13,2.91,12
Chake Chake,TZ,-5.25,39.77,3/18/18,100,82.16,8.5,0
Gazli,UZ,40.13,63.45,3/18/18,82,47.33,6.82,0
Dharchula,IN,29.85,80.53,3/18/18,59,33.2,2.13,8
Carndonagh,IE,55.25,-7.27,3/18/18,64,35.6,17.22,75
Ghanzi,BW,-21.7,21.65,3/18/18,74,70.91,4.14,64
Ismailia,EG,30.6,32.27,3/18/18,50,62.63,7.72,0
Kysyl-Syr,RU,63.9,122.77,3/18/18,62,-21.35,2.91,0
Lompoc,US,34.64,-120.46,3/18/18,54,60.8,9.17,1
Mayo,CA,63.59,-135.9,3/18/18,89,32,2.24,75
Luka nad Jihlavou,CZ,49.37,15.7,3/18/18,67,23,13.87,40
Saint Anthony,US,43.97,-111.68,3/18/18,74,33.8,5.82,90
Ergani,TR,38.27,39.76,3/18/18,76,51.8,4.7,0
Voslobeni,RO,46.65,25.63,3/18/18,80,14.39,2.68,92
Xuchang,CN,34.03,113.82,3/18/18,80,41,8.95,90
Sola,FI,62.78,29.36,3/18/18,80,33.8,11.41,75
Shalakusha,RU,62.23,40.26,3/18/18,84,23.66,14.09,80
Dudinka,RU,69.41,86.18,3/18/18,78,-4.07,17.67,64
Cuamba,MZ,-14.8,36.54,3/18/18,77,70.19,6.93,0
Sambava,MG,-14.27,50.17,3/18/18,100,81.08,25.61,0
Qena,EG,26.16,32.72,3/18/18,27,73.4,2.91,0
La Rioja,AR,-29.41,-66.86,3/18/18,43,79.19,7.94,12
Pakhtakoron,UZ,40.16,68.75,3/18/18,82,47.51,4.14,20
Yumen,CN,40.29,97.04,3/18/18,67,39.23,10.96,44
Darfield,NZ,-43.49,172.11,3/18/18,68,64.4,9.17,24
Morlaix,FR,48.58,-3.83,3/18/18,100,33.8,5.82,44
Fuyang,CN,32.89,115.81,3/18/18,98,45.17,8.16,92
Buriti Alegre,BR,-18.14,-49.04,3/18/18,78,80.36,0.56,32
Tarakan,ID,3.3,117.63,3/18/18,100,80.18,3.91,12
Guymon,US,36.68,-101.48,3/18/18,28,73.4,29.97,1
Eydhafushi,MV,5.1,73.07,3/18/18,100,83.96,6.71,32
Kavaratti,IN,10.57,72.64,3/18/18,100,82.16,3.13,0
Qasigiannguit,GL,68.82,-51.19,3/18/18,51,39.2,16.11,0
Vinukonda,IN,16.05,79.74,3/18/18,91,67.31,4.36,0
Carnarvon,ZA,-30.97,22.13,3/18/18,17,52.1,5.7,0
Loei,TH,17.49,101.72,3/18/18,96,66.32,2.46,0
Sobolevo,RU,54.43,31.9,3/18/18,71,8.81,10.18,0
Prado,BR,-17.34,-39.22,3/18/18,91,81.89,12.19,0
Northam,GB,51.04,-4.21,3/18/18,86,30.2,14.99,75
Emba,CY,34.81,32.42,3/18/18,71,62.6,3.36,0
Laela,TZ,-8.57,32.05,3/18/18,85,55.16,1.23,8
Sterling,US,39,-77.4,3/18/18,22,59,6.93,1
Kampot,KH,10.62,104.18,3/18/18,98,72.08,3.02,24
Shahganj,IN,26.06,82.68,3/18/18,50,64.52,3.69,0
Talaya,RU,55.79,84.89,3/18/18,71,11.06,6.71,0
Sao Caetano de Odivelas,BR,-0.75,-48.02,3/18/18,99,80.9,10.96,92
Arlit,NE,18.74,7.39,3/18/18,19,74.42,8.84,0
Onega,RU,63.91,38.09,3/18/18,93,29.24,17.45,92
Owensboro,US,37.77,-87.11,3/18/18,62,59,5.82,40
Atambua,ID,-9.11,124.89,3/18/18,100,77.48,1.23,0
Hudson Bay,CA,52.86,-102.4,3/18/18,73,24.65,5.37,80
Port Shepstone,ZA,-30.74,30.45,3/18/18,92,73.07,17.67,36
Keflavik,IS,64,-22.56,3/18/18,100,44.6,14.99,90
Kristianstad,SE,56.03,14.16,3/18/18,85,21.2,1.9,0
Brzeg Dolny,PL,51.27,16.72,3/18/18,45,23,13.87,0
Robertsport,LR,6.75,-11.37,3/18/18,98,80.09,9.51,48
Matara,PE,-13.74,-72.9,3/18/18,88,51.2,2.46,88
Nizhniy Baskunchak,RU,48.22,46.83,3/18/18,88,26.54,17.22,92
Olpad,IN,21.34,72.75,3/18/18,78,81.08,7.27,80
Sturgeon Bay,US,44.83,-87.38,3/18/18,36,44.6,8.05,75
